node_id,distance_to_zone3,ros,fire_prob,zone
2692.0,6594.15,1.686,0.000256,2
2693.0,6290.820000000001,1.686,0.000268,2
2694.0,11314.859999999999,1.686,0.000149,1
2695.0,11170.77,1.686,0.000151,1
2696.0,18112.919999999995,1.686,9.3e-05,1
2697.0,17951.579999999994,1.686,9.4e-05,1
2698.0,17210.309999999998,1.686,9.8e-05,1
2699.0,9567.929999999998,1.686,0.000176,2
2700.0,13119.969999999998,1.686,0.000129,1
2701.0,13062.339999999998,1.686,0.000129,1
2702.0,12718.88,1.686,0.000133,1
2703.0,13698.05,1.686,0.000123,1
2704.0,13263.799999999997,1.686,0.000127,1
2705.0,12886.609999999999,1.686,0.000131,1
2706.0,11753.880000000003,1.686,0.000143,1
2707.0,11999.910000000002,1.686,0.000141,1
2708.0,12207.220000000001,1.686,0.000138,1
2709.0,12292.64,1.686,0.000137,1
2710.0,12128.76,1.686,0.000139,1
2711.0,19261.399999999994,1.686,8.8e-05,1
2712.0,19206.919999999995,1.686,8.8e-05,1
2713.0,2961.98,1.686,0.000569,2
2714.0,6995.759999999998,1.686,0.000241,2
2715.0,7198.039999999998,1.686,0.000234,2
2716.0,25151.469999999987,1.686,6.7e-05,1
2717.0,25229.769999999986,1.686,6.7e-05,1
2718.0,25044.819999999985,1.686,6.7e-05,1
2719.0,5993.089999999998,1.686,0.000281,2
2720.0,5938.869999999998,1.686,0.000284,2
2721.0,5895.59,1.686,0.000286,2
2722.0,6392.4699999999975,1.686,0.000264,2
2723.0,6189.279999999997,1.686,0.000272,2
2725.0,6377.38,1.686,0.000264,2
2726.0,3140.9,1.686,0.000537,2
2727.0,3196.9,1.686,0.000527,2
2728.0,2939.6299999999997,1.686,0.000574,2
2730.0,18560.10999999999,1.686,9.1e-05,1
2731.0,18651.729999999992,1.686,9e-05,1
2732.0,18468.59999999999,1.686,9.1e-05,1
2733.0,25348.559999999987,1.686,6.7e-05,1
2734.0,12161.780000000002,1.686,0.000139,1
2735.0,12323.110000000002,1.686,0.000137,1
2736.0,15637.520000000002,1.686,0.000108,1
2737.0,15756.53,1.686,0.000107,1
2738.0,15547.890000000001,1.686,0.000108,1
2739.0,19076.999999999996,1.686,8.8e-05,1
2740.0,18963.779999999995,1.686,8.9e-05,1
2741.0,18937.199999999993,1.686,8.9e-05,1
2742.0,19185.339999999997,1.686,8.8e-05,1
2743.0,19060.079999999994,1.686,8.8e-05,1
2744.0,18821.209999999992,1.686,9e-05,1
2745.0,18930.819999999992,1.686,8.9e-05,1
2746.0,18914.129999999994,1.686,8.9e-05,1
2747.0,18967.319999999992,1.686,8.9e-05,1
2748.0,18966.049999999992,1.686,8.9e-05,1
2749.0,19191.009999999995,1.686,8.8e-05,1
2750.0,19306.919999999995,1.686,8.7e-05,1
2751.0,19427.169999999995,1.686,8.7e-05,1
2752.0,19389.359999999993,1.686,8.7e-05,1
2753.0,19273.769999999993,1.686,8.7e-05,1
2754.0,19651.869999999995,1.686,8.6e-05,1
2755.0,19741.159999999993,1.686,8.5e-05,1
2756.0,19575.219999999994,1.686,8.6e-05,1
2757.0,19723.049999999992,1.686,8.5e-05,1
2758.0,19849.34999999999,1.686,8.5e-05,1
2759.0,13730.95,1.686,0.000123,1
2760.0,13326.640000000001,1.686,0.000127,1
2761.0,13252.960000000003,1.686,0.000127,1
2762.0,12423.900000000001,1.686,0.000136,1
2763.0,12346.010000000002,1.686,0.000137,1
2764.0,11934.14,1.686,0.000141,1
2765.0,11963.5,1.686,0.000141,1
2766.0,11702.59,1.686,0.000144,1
2767.0,9144.200000000004,1.686,0.000184,2
2768.0,9069.500000000004,1.686,0.000186,2
2769.0,4353.469999999999,1.686,0.000387,2
2770.0,11764.13,1.686,0.000143,1
2771.0,11672.49,1.686,0.000144,1
2772.0,11854.679999999998,1.686,0.000142,1
2773.0,9115.43,1.686,0.000185,2
2774.0,9294.210000000001,1.686,0.000181,2
2775.0,8902.34,1.686,0.000189,2
2776.0,8411.980000000001,1.686,0.0002,2
2777.0,8775.89,1.686,0.000192,2
2778.0,8639.470000000001,1.686,0.000195,2
2779.0,7832.7699999999995,1.686,0.000215,2
2780.0,13314.980000000001,1.686,0.000127,1
2781.0,13551.47,1.686,0.000124,1
2782.0,8277.079999999998,1.686,0.000204,2
2783.0,8185.729999999998,1.686,0.000206,2
2784.0,8684.179999999998,1.686,0.000194,2
2785.0,15294.320000000003,1.686,0.00011,1
2786.0,15275.080000000004,1.686,0.00011,1
2787.0,15366.900000000003,1.686,0.00011,1
2788.0,20653.91999999999,1.686,8.2e-05,1
2789.0,20491.68999999999,1.686,8.2e-05,1
2790.0,18728.209999999995,1.686,9e-05,1
