node_id,distance_to_zone3,ros,fire_prob,zone
2355.0,3074.1499999999996,2.8560000000000003,0.000929,2
2356.0,3198.3600000000006,2.8560000000000003,0.000893,2
2357.0,3564.5099999999998,2.8560000000000003,0.000801,2
2358.0,3901.8599999999997,2.8560000000000003,0.000732,2
2359.0,3973.4799999999996,2.8560000000000003,0.000719,2
2360.0,3846.5499999999993,2.8560000000000003,0.000742,2
2361.0,3964.2,2.8560000000000003,0.00072,2
2362.0,4128.37,2.8560000000000003,0.000692,2
2363.0,4208.02,2.8560000000000003,0.000679,2
2364.0,12455.970000000005,2.8560000000000003,0.000229,1
2365.0,4288.39,2.8560000000000003,0.000666,2
2366.0,4372.07,2.8560000000000003,0.000653,2
2367.0,4632.53,2.8560000000000003,0.000617,2
2368.0,7158.7699999999995,2.8560000000000003,0.000399,1
2369.0,5329.7,2.8560000000000003,0.000536,2
2370.0,5533.419999999999,2.8560000000000003,0.000516,2
2371.0,5141.339999999998,2.8560000000000003,0.000555,2
2372.0,5616.63,2.8560000000000003,0.000508,2
2373.0,5616.62,2.8560000000000003,0.000508,2
2374.0,6526.2300000000005,2.8560000000000003,0.000438,2
2375.0,6695.900000000001,2.8560000000000003,0.000427,2
2376.0,,,0.0,1
2377.0,,,0.0,1
2378.0,,,0.0,1
2379.0,9911.330000000002,2.8560000000000003,0.000288,1
2380.0,9871.839999999998,2.8560000000000003,0.000289,1
2381.0,3793.7599999999998,2.8560000000000003,0.000753,2
2382.0,3877.479999999999,2.8560000000000003,0.000737,2
2383.0,3577.39,2.8560000000000003,0.000798,2
2384.0,3448.9100000000003,2.8560000000000003,0.000828,2
2385.0,3344.11,2.8560000000000003,0.000854,2
2386.0,3362.52,2.8560000000000003,0.000849,2
2387.0,3428.68,2.8560000000000003,0.000833,2
2388.0,3244.7999999999997,2.8560000000000003,0.00088,2
2389.0,3193.64,2.8560000000000003,0.000894,2
2390.0,4848.85,2.8560000000000003,0.000589,2
2391.0,4936.419999999999,2.8560000000000003,0.000579,2
2392.0,4728.49,2.8560000000000003,0.000604,2
2393.0,7386.66,2.8560000000000003,0.000387,1
2394.0,2957.6400000000003,2.8560000000000003,0.000966,2
2395.0,2877.3500000000004,2.8560000000000003,0.000993,2
2396.0,2676.1000000000004,2.8560000000000003,0.001067,2
2397.0,8115.08,2.8560000000000003,0.000352,1
2398.0,8425.93,2.8560000000000003,0.000339,1
2399.0,2917.86,2.8560000000000003,0.000979,2
2400.0,2529.85,2.8560000000000003,0.001129,2
2401.0,8080.530000000001,2.8560000000000003,0.000353,1
2402.0,15618.64,2.8560000000000003,0.000183,1
2403.0,15635.17,2.8560000000000003,0.000183,1
2404.0,15414.75,2.8560000000000003,0.000185,1
2405.0,2534.8100000000004,2.8560000000000003,0.001127,2
2406.0,2456.9500000000007,2.8560000000000003,0.001162,2
2407.0,2630.1300000000006,2.8560000000000003,0.001086,2
2408.0,6327.0599999999995,2.8560000000000003,0.000451,2
2409.0,6411.149999999999,2.8560000000000003,0.000445,2
2410.0,6689.409999999999,2.8560000000000003,0.000427,2
2411.0,7685.669999999997,2.8560000000000003,0.000372,1
2412.0,9367.44,2.8560000000000003,0.000305,1
2413.0,10664.769999999997,2.8560000000000003,0.000268,1
2414.0,10462.349999999999,2.8560000000000003,0.000273,1
2415.0,12771.39,2.8560000000000003,0.000224,1
2416.0,12894.73,2.8560000000000003,0.000221,1
2417.0,13097.95,2.8560000000000003,0.000218,1
2418.0,13298.810000000001,2.8560000000000003,0.000215,1
2419.0,13502.000000000002,2.8560000000000003,0.000212,1
2420.0,13702.600000000002,2.8560000000000003,0.000208,1
2421.0,13904.18,2.8560000000000003,0.000205,1
2422.0,14614.22,2.8560000000000003,0.000195,1
2423.0,15376.210000000003,2.8560000000000003,0.000186,1
